,Species,Pinus/Strobus,pathogenic,position,Lips,Lip color,Apothecia (mm) average,Apothecia_length_min_mm,Apothecia_length_max_mm,Asci (um) average,Ascus_length_min_um,Ascus_length_max_um,Ascus_width_min_um,Ascus_width_max_um,Ascospores (um) average,Ascospore_length_min_um,Ascospore_length_max_um,First geographic habitat,First host species,Details,Zone lines around ascomata,Pigmented basal wall of ascocarp,Basal wall thickness of ascocarp,Basal stroma ascocarp,Ascocarp splitting open along a line of/position ,Ascocarp color,Conidiomata,Conidiomata position,Conidia shape,Conidia size ,Conidiomata basal wall,Other conidiomata details,Cultures,Herbarium deposits,Other regions this species is found,GPS coordinate,Host description/Type of host,Symptomatic needles ,Paraphyses,Similarities to/Differences from other species,Other details,Included in current study phylogeny,Available data for type,Publication,Year named
27,L. guangxiense,Pinus,,partially subhypodermal or subepidermal,present,,470-1120 x 240-460 um,0.470,1.120,60-105 x 9-13 um,60,105,9,13,(25-)42-77 x 2 um,42,77,China,P. yunnanensis,,greyish black to black,N/A,N/A,N/A,epidermal cells,"The middle part of the surface of the ascocarp (approximately one part of the total surface area) is black, and the remaining two areas are gray, with a black peripheral line",present,subepidermal,rod-shaped,4.0-6.5 x 0.8-1.0um,N/A,colorless ,N/A,"The main model specimen (ACAFP 66558,) was kept in the Department of Forest Protection, Department of Forestry, Anhui Agricultural College, and the other model (GXFIFP 820047) was stored in the Forest Protection Laboratory of Guangxi Forestry Research Institute.",,"23.7248° N, 108.8076° E",,,N/A,,,Yes,ITS,"Lin, Liu, & Tang. Acta Mycol. Sin 12 (1): 5-11",1993
31,L. pini-mugonis,Pinus,,subcuticular,present,hyaline,"450–500 × 800–1,200(–1,400) μm",0.8,1.4,90–135 × 9–14 μm,90,135,9,14,60–90 × 1.5–2 μm,60,90,Germany,P. mugo,"Ascomata on the abaxial surfaces of needles. In surface view, elliptical, grayish black, shiny, wrinkled, with somewhat irregular outline, the narrow central part of ascomata near the opening raising above the substrate surface, opening by a single longitudinal split, lips hyaline. In median vertical section, ascomata subcuticular. Covering stroma up to 45–60 μm thick near the centre of ascomata, becoming thinner towards the edges, consisting of an outer layer of host cuticle and an inner layer of thick-walled, dark brown textura epidermoidea to textura angularis. Lip cells 10–22 × 2–3 μm, hyaline, branched and septate, embedded in a gelatinous matrix.","thin black, present only when adjacent to L. conigenum",N/A,N/A,"absent, but sometimes the
lower side of epidermal cells under the hymenium slightly
tinted. ",subcuticular,"grayish black, shiny, wrinkled, with somewhat irregular outline",present,"abaxial, subcuticular","hyaline, ellipsoidal",2–3.5×0.8–1.2 μm,"4–5 μm thick, composed of hyaline, angular cells. Sometimes a column of filiform, multi-septate, brown elements beneath ostioles, extending to the upper wall of the opening.","In surface of view conidiomata 80–150×100–250 μm, brown to black, shiny, elliptical or slightly irregular, opening by one to several small ostioles or by irregular splits. In vertical section, conidiomata subcuticular, 30–40 μm deep, upper wall composed of host cuticle and unclear fungal cells, brown but dark brown near the opening.","Slow growing, white, eventually in some cases producing thin black zone lines on the circumference. Very similar to cultures of L. pinastri and L. pini-excelsae, but with larger conidia, 8-12um long, and growing more slowly than L. pinastri at 22C.",Botanische Staatssammlung München,None ,"47.4099° N, 10.2797° E",Lophodermium pini-mugonis was found on needles attached to twigs.,,"100–150 μm long, filiform, septate or not, <1 μm wide, apex simple, slightly curved","It is characterized by subcuticular ascomata with a wrinkled surface and a somewhat untidy outline, a complex structure of lip cells, and ellipsoidal conidia.",,,unknown,"Hou, Li, & Piepenbring. Mycological Progress 8: 29-33",2009
13,L. molitoris,Pinus,,subcuticular or partly subepidermal,present,grey,500-1000 um long,0.5,1,90-130 x 10-13 um,90,130,10,13,80-120 x 2 um,80,120,"Saskatchewan, Canada",P. banksiana,black,"thin black, infrequent to abundant",well developed,N/A,N/A,epidermal cells,"shiny and black, or black in the centre for more than half the total surface area, with a dark grey surround with a black perimeter line making a clearly marked outline",present,subcuticular ,N/A ,N/A,N/A,,No information. ,N/A,"North American: Canada (N.W. Territories, Ontario, Saskatchewan), United States (Georgia)","53.0152° N, 106.0121° W",,,tips unswollen,,,,unknown,Minter. Canadian Journal of Botany 58: 908,1980
18,L. kumaunicum,Pinus,,partly subepidermal,present,colorless,"650-1000 x 200--250 11-m",0.65,1,70--100 x 9-12 um.,70,100,9,12,"60--90 x 1-1.5 11-m,",60,90,India,P. kesiya,"Ascocarps on dead secondary needles, predominantly on the abaxial side, shiny, the longitudinal axis usually parallel with that of the needle, raising the surface of the substrate slightly, Clypeus in midpoint vertical section subcuticular or partly subepidermal. Asci cylindrical, short stalked, with a pointed apex, inoperculate not amyloid. Ascospores enveloped in a sheath, arranged fasciculately and often coiled in a helix, eight per ascus.","Black, thin, usually abundant. ",Well developed,One layer cell thick,N/A,Longitudinal split,"Black whether wet or dry, with a clearly marked outline, elliptical when young, becoming on maturity elongated rhombic.",Present,subcuticular ,"Rod shaped, hyaline, aseptate, smooth",4-6 x 1 μm,"Lower wall in vertical section composed of several layers of hyaline cells, 2-4 um diameter, sometimes with slightly blackened walls.","On secondary needles, on abaxial and radial sides. Elliptical. Pale brown to black, shiny with clearly market outline, raising the needle surface, smooth or wrinkled. 80-300 x 50-100 μm. Opening by one or more irregular tears in the surface, in mid-point vertical section subcuticular.",No information,"Botany Department, Panjab University, India","Shillong India, Almorah India, Baguio Road, Philippines. ","25.5788° N, 91.8933° E",,,"Hyaline, filiform, smooth, septate, unbranchs, tips often sightly swollen and hooked.","Similar in external appearance to L.nitens Darker, but differs in having lip cells, ascocarps which in t least some cases are partly subepidermal and which only moderately rasie the leaf surface, having lower walls which protrude deeply into the needle mesophyll. By contrast, L. nitens has subcuticular ascocarps markedly rasiing the needle surface, with a flat basal wall and no lips. Furthermore, L. nitens is native to North America and there are no reliable records of it elsewhere. Lophodermium kumaunicum differs in ascocarp external appearance from the unnamed Lopho-dermium species on P. sibirica Turcz. from Krasnoyarsk, U.S.S.R. (6), which has circular ascocarps the surfaces of which, when dry, are black in the center with a grey surrounding area and a black perimeter line. By contrast, ascocarps of L. kumaunicum are black whether wet or dry and are not circular. Lophodermium molitoris Minter is the third species which is similar to L. kumaunicum. It differs in having elliptical ascocarps and in being native to North America, characteristically occurring on two- to three-needle pines, whereas L. kumaunicum has rhombic ascocarps, is native to Asia and occurs on five-needle pines. Lophodermium kumaunicum also differs from other species of this genus known from pines in having asci with markedly rostrate apices. In India, L. kumaunicum occurs on P. roxburghii and probably also on similar species in subtropical to temperate mixed forest where it is likely to be native. Collections were obtained at a height of about 1850 m. Although little is known about its ecology, it seems likely that it fruits only after the needles have entered the litter, as this ecology is well established for other pinicolous Lophodermium species which produce abundant black zone lines (7). The epithet refers to the Kumaun Hills in north India where this species was first observed.",,Yes,ITS,Minter & Sharma. Mycologia 74: 702,1982
2,L. baculiferum,Pinus,,subepidermal,absent,,600-1200 um long,0.6,1.2,90-170 x 10-15 um,90,170,10,15,90-130 x 2 um,90,130,California,P. jeffreyi,,"black, infrequent to abundant",present,N/A,N/A,stomata,"dark grey to black, with no perimeter line visible, but the outline being clearly marked",present,subepidermal,rod shaped,9-15 x 1 um,N/A,,No information.,"Chandigarh-160014, India","North America: United States (California, Idaho, Montana, Washington, Wyoming) ",40°30′01″N 121°00′01″W,,,hooked at the tips,,,Yes,"ITS, ddRAD",Mayr. Die Waldungen von Nordamerika: 313,1890
,L. sichuanense,Pinus,,subepidermal,absent,,280-1000 x 100-260 um,0.28,1,57-110 x 12.5-20.0 um,57,110,12.5,20,50-87 x 2.0-4.0 um,50,87,China,P. yunnanensis,"Acocarp on the secondary needles. Scattered, rarely connected. Most abundent on the middle or base of the far axis. long oval to line shaped, round at the ends. Ascopores colorless, 8 in a row, straight. Clypeus does not reach the basal wall line.","brown, infrequent to frequent",present,N/A,N/A,epidermal cells,"Black when wet, Brown when dry",Absent,,N/A,N/A,N/A,,No information. ,"Department of Forestry, Sichuan Agricultural University",,"24.4753° N, 101.3431° E",,,"Line shape, slight curve at the tip. Longer than the asci","This is similar to L. Orientale but the ascocarp of L. sichuanense is longer, without shine and it forms opposing to the needle",,,unknown,"Lin, Hou, & Zheng. Acta Mycological Sinica 14: 93",1995
11,L. canberrianum,Pinus,,subepidermal,present,colorless,600-1400 um long,0.6,1.4,110-150 x 11-15 um,110,150,11,15,70-120 x 2 um,70,120,Australia,P. engelmannii,"ascocarps grey, without a perimeter line",absent,absent,N/A,N/A,epidermal cells,"grey, without a perimeter line",absent,,N/A,N/A,N/A,,"Slow growing, fluffy, white later becoming orange or yellow, growth always ceasing before the edge of the fish is reached, never developing zone lines on the circumference, conidia not observed. ",N/A,,"35.4735° S, 149.0124° E",,,"tips slightly swollen, rarely branched",,,,unknown,Stahl ex Minter & Millar. Transactions of the British Mycological Society 71: 336-337,1978
12,L. seditiosum,Pinus,pathogenic,subepidermal,present,blue or green ,800-1600 um long,0.8,1.6,140-170 x 11-13.5 um,140,170,11,13.5,90-120 x 2 um,90,120,Washington,P. sylvestris ,,"absent of brown, infrequent",poorly developed,N/A,NA,epidermal cells,"totally grey, often with a black perimeter line",present,subepidermal,N/A,N/A,N/A,,"Fast growing, fluffy, white later almost always becoming tan or more often brown, with swirling appearance when young, growth usually ceasing before the edge of the dish is reached, sometimes producing brown diffuse zone lines on the circumference though these are usually hard to distinguish on account of the brown colour of the colony, conidia produced abundantly only on sterilised needles placed on the cultures, the same size as in vivo. Hard to distinguish when pale from cultures of Leptostroma pinorum var. graupianum.",N/A,"Europe: Austria, Belgium, Czechoslovakia, Finland, France, Germany, Great Britain, Greece, Holland, Hungary, Ireland, Poland, Switzerland, USSR (Latvia), Yugoslavia. North America: United States (Indiana, Michigan, Oregon, Washington) ","46.9954° N, 123.7012° W",,,"tips sometimes straight and unswollen, sometimes hooked and/or swollen",,,Yes,"ITS, ddRAD","Minter, Staley, & Millar. Transactions of the British Mycological Society 71: 300",1978
16,L. ravenelii,Pinus,,subepidermal,present,grey,750-1100 um long,0.75,1.1,80-110 x 10-13 um,80,110,10,13,70-100 x 2 um,70,100,Texas,P. taeda,ascocarps totally grey with a clear perimter line,"brown, infrequent to frequent",present,N/A,N/A,epidermal cells,totally grey without a clearly defined perimeter line,present ,subepidermal,threadlike,15-22 x 1 um,N/A,,No information.,N/A,South Carolina ,"29.7604° N, 95.3698° W",,,"tips sometimes straight and unswollen, sometimes hooked and/or swollen",,,Yes,"ITS, SSU",Minter. Mycological Papers 147: 1,1981
32,L. puerense,Pinus,,subepidermal,present,"Hyaline, often invisible from the surface.",350–600 μm,0.35,0.6,70–115 × 10–14 µm,70,115,10,14,60–90 × 1–1.5 µm,60,90,China,P. yunnanensis,"Ascomata mostly on the abaxial side of secondary needles. In surface view ascomata 350–600 µm, more or less orbicular, grey to dark grey, strongly raising above the surface of the substrate, opening by a single longitudinal split. Lips present, hyaline, often invisible from the surface, split extending along about 3/4 of the entire length of the ascomata, perimeter line inconspicuous. In median vertical section ascomata subepidermal, 170–210 µm deep, covering stroma up to 30–50 µm thick near the centre of the ascomata, thinner towards the edges and only extending along half to 2/3 the covering stroma, consisting of thick-walled textura angularis with cells of 3–5 µm diam., the first layer of hypodermal cells usually degraded, 2–4 incomplete hypodermal cells still present in the covering stroma. Lip cells hyaline, 10–25 × 3–4 µm, mostly with one septum. Basal stroma flat, poorly developed, invisible, with some brown hyphae invading into degraded host cells underneath the subhymenium. Subhymenium 8-10 µm thick, hyaline, composed of 2–3 layers of small pseudoparenchymatous cells. Paraphyses 100–125 × 1–1.5 µm, filiform, not branched, septate, swollen at the apex. Asci ripening sequentially, 70–115 × 10–14 µm, cylindrical-clavate, short stalked, thin-walled, J–, acute at the apex, without circumapical thickening, 8-spored. Ascospores fasciculate, 60–90 × 1–1.5 µm, hyaline, aseptate, with a 2–3 µm thick gelatinous sheath.",absent,N/A,N/A,"flat, poorly developed, invisible, with some brown hyphae invading into degraded host cells underneath the subhymenium",epidermal cells,Grey to dark grey,Absent,,N/A,N/A,N/A,,No information.,N/A,N/A,"22.8251° N, 100.9665° E",On needles that are still attached to twigs or fallen in litter.,On needles that are still attached to twigs or fallen in litter.,"Paraphyses 100–125 × 1–1.5 μm, filiform, not branched, septate, swollen at the apex.","Similar to L. orientale and L. pini-pumilae but differs by the shape of the ascomata, presence of lip cells, the incomplete hypodermal cells present int he covering stroma, and the host relationship.    By its subepidermal ascomata, Lophodermium puerense is somewhat similar to L. orientale Minter and L. pini-pumilae Sawada on five-needle pines (Minter 1981). However, L. puerense occurs on 2–3-needle pines and has conspicuous lip cells, while L. orientale and L. pini-pumilae lack lip cells. The shapes of ascomata differ among these three species. The ascomata are almost orbicular in L. puerense, while they are long elongate-elliptical in L .pini-pumilae and have a poorly marked, irregular outline in L. orientale. Furthermore, in L. puerense 2–4 incomplete hypodermal cells are present in the covering stroma. L. puerense often occurs together with L. conigenum (Brunaud) Hilitzer on the same needles.",Often occurs together with L. conigenum Hilitzer on the same needles.,Yes,"ITS, ACT",Hou & Piepenbring. Mycotaxon 107: 259-262,2009
